backbone,backbone_size,dataset,image_size,task,patch_size,backbone_modalities,backbone_bands,decoder,token_count,gmacs_encoder,gmacs_decoder,gmacs_total,params_M
thor,tiny,snow,144,segmentation,4,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",,1296.0,6.903545856,,6.903545856,7.608896
thor,tiny,snow,144,segmentation,4,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",linear,,6.903545856,0.0570654719999996,6.960611328,7.614786
thor,tiny,snow,144,segmentation,4,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",upernet,,6.903545856,78.853668864,85.75721472,15.584753
thor,tiny,snow,144,segmentation,8,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",,324.0,1.755561984,,1.755561984,7.608896
thor,tiny,snow,144,segmentation,8,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",linear,,1.755561984,0.0570654719999998,1.812627456,7.624002
thor,tiny,snow,144,segmentation,8,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",upernet,,1.755561984,19.715260416,21.4708224,15.584753
thor,tiny,snow,144,segmentation,16,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",,81.0,0.449888256,,0.449888256,7.608896
thor,tiny,snow,144,segmentation,16,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",linear,,0.449888256,0.057065472,0.506953728,7.660866
thor,tiny,snow,144,segmentation,16,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",upernet,,0.449888256,4.918751232,5.368639488,15.584753
thor,tiny,snow,144,segmentation,32,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",,16.0,0.352321536,,0.352321536,7.608896
thor,tiny,snow,144,segmentation,32,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",linear,,0.352321536,0.045088768,0.397410304,7.808322
thor,tiny,snow,144,segmentation,32,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",upernet,,0.352321536,0.975929344,1.32825088,15.584753
terramind,tiny,snow,144,segmentation,16,['S2L2A'],"{'S2L2A': ['GREEN', 'RED', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']}",,81.0,0.449888256,,0.449888256,5.579904
terramind,tiny,snow,144,segmentation,16,['S2L2A'],"{'S2L2A': ['GREEN', 'RED', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']}",linear,,0.449888256,0.110470144,0.5603584,5.629059
terramind,tiny,snow,144,segmentation,16,['S2L2A'],"{'S2L2A': ['GREEN', 'RED', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']}",upernet,,0.449888256,5.248466944,5.6983552,12.965681
thor,base,snow,144,segmentation,4,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",,1296.0,110.170669056,,110.170669056,94.136576
thor,base,snow,144,segmentation,4,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",linear,,110.170669056,0.0690094079999994,110.239678464,94.151682
thor,base,snow,144,segmentation,4,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",upernet,,110.170669056,84.928561152,195.099230208,106.777025
thor,base,snow,144,segmentation,8,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",,324.0,27.661369344,,27.661369344,94.136576
thor,base,snow,144,segmentation,8,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",linear,,27.661369344,0.0690094079999994,27.730378752,94.188546
thor,base,snow,144,segmentation,8,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",upernet,,27.661369344,21.239513088,48.900882432,106.777025
thor,base,snow,144,segmentation,16,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",,81.0,6.959333376,,6.959333376,94.136576
thor,base,snow,144,segmentation,16,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",linear,,6.959333376,0.0690094080000003,7.028342784,94.336002
thor,base,snow,144,segmentation,16,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",upernet,,6.959333376,5.299703808,12.259037184,106.777025
thor,base,snow,144,segmentation,32,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",,16.0,2.428502016,,2.428502016,94.136576
thor,base,snow,144,segmentation,32,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",linear,,2.428502016,0.0545259520000001,2.483027968,94.925826
thor,base,snow,144,segmentation,32,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",upernet,,2.428502016,1.058209792,3.486711808,106.777025
terramind,base,snow,144,segmentation,16,['S2L2A'],"{'S2L2A': ['GREEN', 'RED', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']}",,81.0,6.959333376,,6.959333376,85.937664
terramind,base,snow,144,segmentation,16,['S2L2A'],"{'S2L2A': ['GREEN', 'RED', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']}",linear,,6.959333376,1.6521226240000004,8.611456,86.134275
terramind,base,snow,144,segmentation,16,['S2L2A'],"{'S2L2A': ['GREEN', 'RED', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']}",upernet,,6.959333376,7.250919423999999,14.2102528,97.988033
thor,tiny,seaice,224,segmentation,4,,"['EW_HH', 'EW_HV']",,3136.0,16.668033024,,16.668033024,7.608896
thor,tiny,seaice,224,segmentation,4,,"['EW_HH', 'EW_HV']",linear,,16.668033024,0.4142530559999997,17.08228608,7.626054
thor,tiny,seaice,224,segmentation,4,,"['EW_HH', 'EW_HV']",upernet,,16.668033024,190.828609536,207.49664256,15.585267
thor,tiny,seaice,224,segmentation,8,,"['EW_HH', 'EW_HV']",,784.0,4.187357184,,4.187357184,7.608896
thor,tiny,seaice,224,segmentation,8,,"['EW_HH', 'EW_HV']",linear,,4.187357184,0.4142530560000006,4.60161024,7.653702
thor,tiny,seaice,224,segmentation,8,,"['EW_HH', 'EW_HV']",upernet,,4.187357184,47.708995584,51.896352768,15.585267
thor,tiny,seaice,224,segmentation,16,,"['EW_HH', 'EW_HV']",,196.0,1.05971712,,1.05971712,7.608896
thor,tiny,seaice,224,segmentation,16,,"['EW_HH', 'EW_HV']",linear,,1.05971712,0.4142530559999999,1.473970176,7.764294
thor,tiny,seaice,224,segmentation,16,,"['EW_HH', 'EW_HV']",upernet,,1.05971712,11.929092096,12.988809216,15.585267
thor,tiny,seaice,224,segmentation,32,,"['EW_HH', 'EW_HV']",,49.0,0.380043264,,0.380043264,7.608896
thor,tiny,seaice,224,segmentation,32,,"['EW_HH', 'EW_HV']",linear,,0.380043264,0.4142530559999999,0.79429632,8.206662
thor,tiny,seaice,224,segmentation,32,,"['EW_HH', 'EW_HV']",upernet,,0.380043264,2.975010816,3.35505408,15.585267
terramind,tiny,seaice,224,segmentation,16,['S1GRD'],"{'S1GRD': ['HH', 'HV']}",,196.0,1.05971712,,1.05971712,5.432448
terramind,tiny,seaice,224,segmentation,16,['S1GRD'],"{'S1GRD': ['HH', 'HV']}",linear,,1.05971712,0.0293529599999999,1.08907008,5.579919
terramind,tiny,seaice,224,segmentation,16,['S1GRD'],"{'S1GRD': ['HH', 'HV']}",upernet,,1.05971712,10.079404032,11.139121152,12.818739
thor,base,seaice,224,segmentation,4,,"['EW_HH', 'EW_HV']",,3136.0,266.438443008,,266.438443008,94.136576
thor,base,seaice,224,segmentation,4,,"['EW_HH', 'EW_HV']",linear,,266.438443008,0.5009571840000149,266.939400192,94.181382
thor,base,seaice,224,segmentation,4,,"['EW_HH', 'EW_HV']",upernet,,266.438443008,205.51788134400005,471.956324352,106.777539
thor,base,seaice,224,segmentation,8,,"['EW_HH', 'EW_HV']",,784.0,66.691006464,,66.691006464,94.136576
thor,base,seaice,224,segmentation,8,,"['EW_HH', 'EW_HV']",linear,,66.691006464,0.5009571840000007,67.191963648,94.291974
thor,base,seaice,224,segmentation,8,,"['EW_HH', 'EW_HV']",upernet,,66.691006464,51.386843136,118.0778496,106.777539
thor,base,seaice,224,segmentation,16,,"['EW_HH', 'EW_HV']",,196.0,16.724262912,,16.724262912,94.136576
thor,base,seaice,224,segmentation,16,,"['EW_HH', 'EW_HV']",linear,,16.724262912,0.5009571840000007,17.225220096,94.734342
thor,base,seaice,224,segmentation,16,,"['EW_HH', 'EW_HV']",upernet,,16.724262912,12.854083584,29.578346496,106.777539
thor,base,seaice,224,segmentation,32,,"['EW_HH', 'EW_HV']",,49.0,4.641521664,,4.641521664,94.136576
thor,base,seaice,224,segmentation,32,,"['EW_HH', 'EW_HV']",linear,,4.641521664,0.5009571839999998,5.142478848,96.503814
thor,base,seaice,224,segmentation,32,,"['EW_HH', 'EW_HV']",upernet,,4.641521664,3.2074752,7.848996864,106.777539
terramind,base,seaice,224,segmentation,16,['S1GRD'],"{'S1GRD': ['HH', 'HV']}",,196.0,16.724262912,,16.724262912,85.34784
terramind,base,seaice,224,segmentation,16,['S1GRD'],"{'S1GRD': ['HH', 'HV']}",linear,,16.724262912,0.116057087999998,16.84032,85.937679
terramind,base,seaice,224,segmentation,16,['S1GRD'],"{'S1GRD': ['HH', 'HV']}",upernet,,16.724262912,11.00439552,27.728658432,97.398723
thor,tiny,iceberg,256,segmentation,4,,"['IW_VV', 'IW_VH']",,4096.0,21.770010624,,21.770010624,7.608896
thor,tiny,iceberg,256,segmentation,4,,"['IW_VV', 'IW_VH']",mlp,,21.770010624,0.117702656,21.88771328,0.028898
thor,tiny,iceberg,256,segmentation,4,,"['IW_VV', 'IW_VH']",pixelshuffle,,21.770010624,0.025165824,21.795176448,0.006176
thor,tiny,iceberg,256,segmentation,8,,"['IW_VV', 'IW_VH']",,1024.0,5.467275264,,5.467275264,7.608896
thor,tiny,iceberg,256,segmentation,8,,"['IW_VV', 'IW_VH']",mlp,,5.467275264,0.029425664,5.496700928,0.028898
thor,tiny,iceberg,256,segmentation,8,,"['IW_VV', 'IW_VH']",pixelshuffle,,5.467275264,0.025165824,5.4924410880000005,0.024704
thor,tiny,iceberg,256,segmentation,16,,"['IW_VV', 'IW_VH']",,256.0,1.38412032,,1.38412032,7.608896
thor,tiny,iceberg,256,segmentation,16,,"['IW_VV', 'IW_VH']",mlp,,1.38412032,0.007356416,1.391476736,0.028898
thor,tiny,iceberg,256,segmentation,16,,"['IW_VV', 'IW_VH']",pixelshuffle,,1.38412032,0.025165824,1.409286144,0.098816
thor,tiny,iceberg,256,segmentation,32,,"['IW_VV', 'IW_VH']",,64.0,0.465567744,,0.465567744,7.608896
thor,tiny,iceberg,256,segmentation,32,,"['IW_VV', 'IW_VH']",mlp,,0.465567744,0.001839104,0.467406848,0.028898
thor,tiny,iceberg,256,segmentation,32,,"['IW_VV', 'IW_VH']",pixelshuffle,,0.465567744,0.025165824,0.490733568,0.395264
terramind,tiny,iceberg,256,segmentation,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",,256.0,1.38412032,,1.38412032,5.432448
terramind,tiny,iceberg,256,segmentation,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",mlp,,1.38412032,0.007356416,1.391476736,0.028898
terramind,tiny,iceberg,256,segmentation,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",pixelshuffle,,1.38412032,0.025165824,1.409286144,0.098816
thor,base,iceberg,256,segmentation,4,,"['IW_VV', 'IW_VH']",,4096.0,347.999305728,,347.999305728,94.136576
thor,base,iceberg,256,segmentation,4,,"['IW_VV', 'IW_VH']",mlp,,347.999305728,0.419692544,348.418998272,0.102626
thor,base,iceberg,256,segmentation,4,,"['IW_VV', 'IW_VH']",pixelshuffle,,347.999305728,0.100663296,348.099969024,0.024608
thor,base,iceberg,256,segmentation,8,,"['IW_VV', 'IW_VH']",,1024.0,87.098916864,,87.098916864,94.136576
thor,base,iceberg,256,segmentation,8,,"['IW_VV', 'IW_VH']",mlp,,87.098916864,0.104923136,87.20384,0.102626
thor,base,iceberg,256,segmentation,8,,"['IW_VV', 'IW_VH']",pixelshuffle,,87.098916864,0.100663296,87.19958016,0.098432
thor,base,iceberg,256,segmentation,16,,"['IW_VV', 'IW_VH']",,256.0,21.843935232,,21.843935232,94.136576
thor,base,iceberg,256,segmentation,16,,"['IW_VV', 'IW_VH']",mlp,,21.843935232,0.026230784,21.870166016,0.102626
thor,base,iceberg,256,segmentation,16,,"['IW_VV', 'IW_VH']",pixelshuffle,,21.843935232,0.100663296,21.944598528,0.393728
thor,base,iceberg,256,segmentation,32,,"['IW_VV', 'IW_VH']",,64.0,5.939134464,,5.939134464,94.136576
thor,base,iceberg,256,segmentation,32,,"['IW_VV', 'IW_VH']",mlp,,5.939134464,0.006557696,5.94569216,0.102626
thor,base,iceberg,256,segmentation,32,,"['IW_VV', 'IW_VH']",pixelshuffle,,5.939134464,0.100663296,6.03979776,1.574912
terramind,base,iceberg,256,segmentation,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",,256.0,21.843935232,,21.843935232,85.34784
terramind,base,iceberg,256,segmentation,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",mlp,,21.843935232,0.026230784,21.870166016,0.102626
terramind,base,iceberg,256,segmentation,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",pixelshuffle,,21.843935232,0.100663296,21.944598528,0.393728
thor,tiny,mires,288,segmentation,4,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",,6480.0,34.493988864,,34.493988864,7.608896
thor,tiny,mires,288,segmentation,4,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",linear,,34.493988864,1.4651228159999974,35.95911168,7.661388
thor,tiny,mires,288,segmentation,4,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",upernet,,34.493988864,321.312718848,355.806707712,16.809126
thor,tiny,mires,288,segmentation,8,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",,1620.0,8.718680064,,8.718680064,7.608896
thor,tiny,mires,288,segmentation,8,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",linear,,8.718680064,1.4651228159999992,10.18380288,7.77198
thor,tiny,mires,288,segmentation,8,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",upernet,,8.718680064,80.331866112,89.050546176,16.809126
thor,tiny,mires,288,segmentation,16,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",,405.0,2.237497344,,2.237497344,7.608896
thor,tiny,mires,288,segmentation,16,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",linear,,2.237497344,1.465122816,3.70262016,8.214348
thor,tiny,mires,288,segmentation,16,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",upernet,,2.237497344,20.086652928,22.324150272,16.809126
thor,tiny,mires,288,segmentation,32,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",,97.0,1.100808192,,1.100808192,7.608896
thor,tiny,mires,288,segmentation,32,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",linear,,1.100808192,1.4651228160000005,2.565931008,9.98382
thor,tiny,mires,288,segmentation,32,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",upernet,,1.100808192,5.011562496000001,6.112370688,16.809126
terramind,tiny,mires,288,segmentation,16,['S2L2A'],"{'S2L2A': ['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']}",,324.0,1.879179264,,1.879179264,5.825664
terramind,tiny,mires,288,segmentation,16,['S2L2A'],"{'S2L2A': ['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']}",linear,,1.879179264,0.098537472,1.977716736,6.120624
terramind,tiny,mires,288,segmentation,16,['S2L2A'],"{'S2L2A': ['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']}",upernet,,1.879179264,16.66424832,18.543427584,13.212726
thor,base,mires,288,segmentation,4,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",,6480.0,550.758383616,,550.758383616,94.136576
thor,base,mires,288,segmentation,4,,"['BLUE', 'GREEN', 'RED', 'RED_EDGE_1', 'RED_EDGE_2', 'RED_EDGE_3', 'NIR_BROAD', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']",linear,,550.758383616,2.038431744000036,552.79681536,94.29966
